food_id,name,text,image_url,quantity,measure,weight
a4bb5275-7c2a-4893-9c55-cb9d6cc55367,sugar,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",http://dummyimage.com/196x231.png/ff4444/ffffff,25,teaspoon,80
515e220a-bc18-49ae-9ccc-19ba9fba22e5,almond extract,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",http://dummyimage.com/139x202.png/cc0000/ffffff,16,gram,19
64c599c5-b922-4149-af57-37d310d568ac,cinnamon,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/221x181.png/5fa2dd/ffffff,32,kilogram,49
14a93fce-2831-4504-937c-d66cc0733237,honey,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",http://dummyimage.com/229x176.png/dddddd/000000,55,milliliter,24
05366694-b40d-43a6-9ffa-7433f6c43b97,turmeric,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,http://dummyimage.com/224x243.png/ff4444/ffffff,97,dash,31
63b922d2-7374-4445-8432-7cd1caea01dd,thyme,Phasellus in felis. Donec semper sapien a libero. Nam dui.,http://dummyimage.com/118x170.png/cc0000/ffffff,72,teaspoon,8
629d6feb-1588-4eb5-a632-fd769b4eb2d2,cayenne pepper,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",http://dummyimage.com/137x177.png/dddddd/000000,11,gallon,91
5065397f-24d4-44d2-a910-27160a5b0e2e,barbecue sauce,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/221x224.png/dddddd/000000,17,fluid ounce,28
2565dadc-dcdf-4303-80e7-9b31286ab697,onion,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",http://dummyimage.com/189x113.png/dddddd/000000,31,teaspoon,63
f9a86039-898c-435f-b539-5762b3ba8ace,mirin,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,http://dummyimage.com/118x249.png/5fa2dd/ffffff,30,quart,88
03b0b2f4-fcdd-4205-9378-44692beb49e7,coconut flakes,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",http://dummyimage.com/162x231.png/dddddd/000000,10,quart,55
f7475015-3f1e-445e-9580-b3deb359cece,cocoa powder,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,http://dummyimage.com/193x158.png/dddddd/000000,89,fluid ounce,96
ece536c0-416a-42a3-ba4c-7f6ccdb7136c,oregano,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",http://dummyimage.com/246x232.png/cc0000/ffffff,31,kilogram,16
d8016be7-e9e9-4649-a12a-897f2b3221ae,paprika,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,http://dummyimage.com/116x208.png/5fa2dd/ffffff,52,dash,35
dd2381ef-63f2-4ce8-8f08-6a4b6c3842b4,lemon,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://dummyimage.com/155x250.png/ff4444/ffffff,5,kilogram,73
4869988b-b5aa-4595-acae-bf47f20865ff,sesame oil,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,http://dummyimage.com/204x239.png/5fa2dd/ffffff,12,pinch,7
ccae14a1-f20a-47bd-ae5f-2e9870c833c1,rice vinegar,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/133x220.png/dddddd/000000,9,milliliter,6
99696d4c-fdf1-4594-ad2d-815963c6fa8c,pecans,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,http://dummyimage.com/107x198.png/5fa2dd/ffffff,1,milliliter,22
8deebdf2-364e-46be-b232-f90fe9b16703,nutmeg,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",http://dummyimage.com/130x182.png/cc0000/ffffff,87,gallon,25
b112344a-3e3c-42d3-b32f-0e6ae13916f3,eggs,Fusce consequat. Nulla nisl. Nunc nisl.,http://dummyimage.com/227x237.png/ff4444/ffffff,46,quart,71
f18f20a1-7074-4a6b-bda8-8b2a93e8ff68,lemon,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,http://dummyimage.com/162x166.png/cc0000/ffffff,65,fluid ounce,56
824edcb2-7f51-4d5a-aee9-a8c559bb199c,baking powder,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,http://dummyimage.com/107x154.png/5fa2dd/ffffff,35,teaspoon,73
01b5cd0a-8c6f-45ef-abe8-fa3caa052802,oregano,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",http://dummyimage.com/223x245.png/5fa2dd/ffffff,59,fluid ounce,45
6621f111-cde0-46ab-94ac-257d0501a69d,olive oil,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,http://dummyimage.com/187x128.png/cc0000/ffffff,80,pint,45
bc2168c4-cc89-4a2c-a27c-7cdb7374464e,ketchup,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,http://dummyimage.com/225x224.png/ff4444/ffffff,77,gallon,52
